,ROC AUC,F1 Score,Sensitivity,Specificity,Balanced Accuracy
PCE,0.68 (0.64–0.72),0.61 (0.57–0.66),0.60 (0.55–0.66),0.66 (0.61–0.71),0.63 (0.60–0.67)
PCE + Self Reported Physical Activity,0.68 (0.64–0.72),0.61 (0.56–0.65),0.60 (0.54–0.65),0.66 (0.61–0.71),0.63 (0.60–0.66)
PCE + Accel,0.69 (0.65–0.73),0.62 (0.58–0.67),0.62 (0.56–0.67),0.67 (0.62–0.72),0.64 (0.61–0.68)
PCE + Accel Various,0.69 (0.65–0.72),0.63 (0.59–0.67),0.63 (0.57–0.68),0.67 (0.62–0.71),0.65 (0.61–0.68)
SCORE,0.63 (0.59–0.67),0.58 (0.52–0.62),0.56 (0.50–0.61),0.66 (0.61–0.71),0.61 (0.57–0.64)
SCORE + Self Reported Physical Activity,0.63 (0.59–0.67),0.57 (0.52–0.62),0.55 (0.50–0.61),0.66 (0.61–0.71),0.61 (0.57–0.64)
SCORE + Accel,0.65 (0.60–0.68),0.58 (0.53–0.63),0.57 (0.52–0.62),0.64 (0.60–0.69),0.61 (0.57–0.64)
SCORE + Accel Various,0.64 (0.60–0.68),0.59 (0.54–0.63),0.57 (0.52–0.63),0.65 (0.60–0.70),0.61 (0.58–0.65)
LE8,0.64 (0.60–0.68),0.57 (0.52–0.62),0.55 (0.50–0.61),0.65 (0.59–0.69),0.60 (0.56–0.63)
LE8 + Self Reported Physical Activity,0.64 (0.59–0.68),0.57 (0.52–0.61),0.55 (0.50–0.60),0.65 (0.59–0.69),0.60 (0.56–0.63)
LE8 + Accel,0.64 (0.60–0.68),0.58 (0.53–0.62),0.56 (0.51–0.62),0.65 (0.60–0.69),0.61 (0.57–0.64)
LE8 + Accel Various,0.64 (0.60–0.68),0.57 (0.52–0.61),0.55 (0.50–0.60),0.64 (0.59–0.69),0.60 (0.56–0.63)
Demographics,0.53 (0.49–0.57),0.39 (0.34–0.44),0.32 (0.27–0.37),0.72 (0.68–0.77),0.52 (0.49–0.55)
Demographics + Self Reported Physical Activity,0.55 (0.50–0.59),0.43 (0.37–0.48),0.35 (0.30–0.40),0.73 (0.69–0.78),0.54 (0.51–0.58)
Demographics + Accel,0.60 (0.56–0.64),0.58 (0.53–0.62),0.61 (0.56–0.67),0.53 (0.48–0.58),0.57 (0.53–0.61)
Demographics + Accel Various,0.61 (0.57–0.65),0.61 (0.56–0.65),0.67 (0.62–0.72),0.50 (0.45–0.55),0.59 (0.55–0.62)
SDOH,0.62 (0.58–0.66),0.58 (0.53–0.62),0.57 (0.51–0.62),0.63 (0.58–0.68),0.60 (0.57–0.64)
SDOH + Self Reported Physical Activity,0.62 (0.58–0.66),0.57 (0.53–0.62),0.57 (0.51–0.62),0.62 (0.57–0.67),0.59 (0.56–0.63)
SDOH + Accel,0.63 (0.59–0.68),0.59 (0.55–0.64),0.61 (0.56–0.66),0.60 (0.55–0.65),0.60 (0.57–0.64)
SDOH + Accel Various,0.63 (0.59–0.67),0.58 (0.53–0.62),0.59 (0.53–0.64),0.60 (0.54–0.65),0.59 (0.56–0.63)
Accel only,0.59 (0.55–0.63),0.58 (0.54–0.62),0.64 (0.59–0.69),0.47 (0.42–0.53),0.56 (0.52–0.59)
Accel Various only,0.60 (0.55–0.64),0.61 (0.57–0.65),0.74 (0.69–0.78),0.39 (0.34–0.44),0.56 (0.53–0.60)
Self Reported Physical Activity,0.58 (0.54–0.62),0.61 (0.57–0.65),0.79 (0.74–0.83),0.26 (0.22–0.31),0.53 (0.50–0.56)
PCE_Clinic_Free,0.57 (0.53–0.61),0.52 (0.47–0.56),0.52 (0.46–0.57),0.56 (0.51–0.61),0.54 (0.50–0.58)
PCE_Clinic_Free + Self Reported Physical Activity,0.57 (0.53–0.61),0.53 (0.48–0.57),0.53 (0.47–0.58),0.57 (0.52–0.62),0.55 (0.51–0.58)
PCE_Clinic_Free + Accel,0.61 (0.56–0.65),0.55 (0.51–0.60),0.56 (0.50–0.61),0.58 (0.53–0.63),0.57 (0.53–0.61)
PCE_Clinic_Free + Accel Various,0.60 (0.56–0.64),0.57 (0.52–0.61),0.58 (0.53–0.63),0.57 (0.52–0.62),0.57 (0.54–0.61)
SCORE_Clinic_Free,0.55 (0.51–0.59),0.50 (0.46–0.55),0.50 (0.45–0.56),0.55 (0.50–0.60),0.53 (0.49–0.56)
SCORE_Clinic_Free + Self Reported Physical Activity,0.56 (0.52–0.60),0.51 (0.46–0.55),0.50 (0.45–0.55),0.57 (0.52–0.62),0.53 (0.50–0.57)
